series_1,
 line,
 y x,
  97   1,
  95   2,
  95   3,
 110   4,
 112   5,
  96   6,
  90   7,
 115   8,
 106   9;

series_2,
 line,
 y x,
 132  11,
 133  13,
 121  15,
 143  18,
 148  19;

series_3,
 line,
 y x,
 138  21,
 135  22,
 136  23,
 135  24,
 145  25,
 117  26,
 121  27,
 122  28,
 125  29,
 113  30,
 117  31,
 108  32,
 106  33;

series_4,
 line,
 y x,
 153  41,
 146  44,
 157  46,
 144  48,
 176  49,
 146  51,
 139  52,
 150  55,
 160  57,
 168  59;

series_5,
 line,
 y x,
 157  63,
 174  65,
 172  66,
 158  69,
 177  75,
 178  79,
 175  83,
 205  85,
 194  88,
 207  89,
 199  90;

series_6,
 line,
 y x,
 198  91,
 190  92,
 197  93,
 181  94,
 173  95,
 166  96,
 194  97,
 178  98,
 187  99;

