series_1,
line,
y x,
 109   1,
 98    2,
 101   3,
 107   4,
 107   5,
 115   6,
 106   7,
 102   8,
 110   9;

series_2,
 line,
 y x,
 121  11,
 114  13,
 118  15,
  91  18,
 126  19;

series_3,
 line,
 y x,
 118  21,
 110  22,
 133  23,
 119  24,
 138  25,
 120  26,
 124  27,
 128  28,
 132  29,
 138  30,
 142  31,
 148  32,
 133  33;

series_4,
 line,
 y x,
 143  41,
 155  44,
 158  46,
 139  48,
 142  49,
 150  51,
 156  52,
 154  55,
 182  57,
 163  59;

series_5,
 line,
 y x,
 146  63,
 174  65,
 166  66,
 166  69,
 176  75,
 180  79,
 208  83,
 199  85,
 192  88,
 192  89,
 195  90;

series_6,
 line,
 y x,
 178  91,
 200  92,
 181  93,
 193  94,
 180  95,
 185  96,
 187  97,
 178  98,
 204  99;

