series_1,
line,
y x,
  96   1,
  104   2,
  89   3,
  118   4,
  117   5,
  103   6,
  99   7,
  107   8,
  118   9;

series_2,
line,
y x,
 121  11,
 114  13,
 102  15,
 105  18,
 113  19;

series_3,
line,
y x,
 123  21,
 115  22,
 131  23,
 116  24,
 132  25,
 135  26,
 125  27,
 128  28,
 143  29,
 128  30,
 120  31,
 133  32,
 133  33;

series_4,
line,
y x,
 140  41,
 136  44,
 142  46,
 160  48,
 147  49,
 145  51,
 162  52,
 160  55,
 132  57,
 160  59;

series_5,
line,
y x,
 149  63,
 156  65,
 160  66,
 163  69,
 169  75,
 177  79,
 167  83,
 165  85,
 180  88,
 193  89,
 197  90;

series_6,
line,
y x,
 201  91,
 183  92,
 199  93,
 209  94,
 203  95,
 193  96,
 189  97,
 190  98,
 188  99;
