series_1,
 line,
 y x,
 109   1,
  99   2,
  98   3,
  88   4,
 107   5,
 116   6,
 112   7,
 105   8,
 131   9;

series_2,
 line,
 y x,
  93  11,
 100  13,
 109  15,
 126  18,
 143  19;

series_3,
 line,
 y x,
 119  21,
 103  22,
 118  23,
 126  24,
 130  25,
 151  26,
 143  27,
 161  28,
 165  29,
 161  30,
 172  31,
 175  32,
 193  33;

series_4,
 line,
 y x,
 133  41,
 113  44,
 118  46,
 114  48,
 123  49,
 117  51,
 126  52,
 118  55,
 115  57,
 108  59;

series_5,
 line,
 y x,
 182  63,
 178  65,
 169  66,
 170  69,
 158  75,
 150  79,
 148  83,
 141  85,
 124  88,
 117  89,
 101  90;

series_6,
 line,
 y x,
 197  91,
 187  92,
 181  93,
 181  94,
 203  95,
 172  96,
 188  97,
 212  98,
 190  99;

